EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
270        1090.693  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Eve
271        1090.693  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Eve
272        1090.694  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=6    Eve
273        1090.694  SEM_POST           tid=5   room=-  sem=50   msgs=6    Eve
274        1112.539  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
275        1112.543  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
276        1112.544  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Frank
277        1112.544  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Frank
278        1112.545  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=7    Frank
279        1112.545  SEM_POST           tid=0   room=-  sem=50   msgs=7    Frank
280        1140.707  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
281        1140.708  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
282        1140.710  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Grace
283        1140.711  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Grace
284        1140.711  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=6    Grace
285        1140.711  SEM_POST           tid=1   room=-  sem=50   msgs=6    Grace
286        1164.393  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
287        1164.397  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
288        1164.400  ACQUIRED_LOCK      tid=6   room=C  sem=-1   msgs=0    Hank
289        1164.401  RELEASED_LOCK      tid=6   room=C  sem=-1   msgs=0    Hank
290        1164.401  MSG_BROADCAST      tid=6   room=C  sem=49   msgs=6    Hank
291        1164.401  SEM_POST           tid=6   room=-  sem=50   msgs=6    Hank
292        1188.486  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
293        1188.491  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
294        1188.494  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T3 Iris
295        1188.498  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=6    Iris
296        1188.499  SEM_POST           tid=7   room=-  sem=50   msgs=6    Iris
297        1206.544  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
298        1206.548  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
299        1206.550  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Jack
300        1206.551  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Jack
301        1206.551  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=7    Jack
302        1206.552  SEM_POST           tid=2   room=-  sem=50   msgs=7    Jack
303        1226.769  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
304        1226.774  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
305        1226.777  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Karen
306        1226.778  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Karen
307        1226.779  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=7    Karen
