EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
242       28702.255  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=6    Hank
243       28702.255  SEM_POST           tid=2   room=-  sem=50   msgs=6    Hank
244       29706.028  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
245       29706.032  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Iris
246       29706.048  PRIVATE_MSG        tid=6   room=P  sem=49   msgs=6    Iris
247       29706.048  SEM_POST           tid=6   room=-  sem=50   msgs=6    Iris
248       29772.923  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
249       29772.926  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Jack
250       29772.927  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Jack
251       29772.927  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=7    Jack
252       29772.927  SEM_POST           tid=1   room=-  sem=50   msgs=7    Jack
253       29802.387  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
254       29802.390  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Karen
255       29802.391  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Karen
256       29802.391  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=7    Karen
257       29802.391  SEM_POST           tid=5   room=-  sem=50   msgs=7    Karen
258       29826.047  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
259       29826.050  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Leo
260       29826.051  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Leo
261       29826.051  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=7    Leo
262       29826.051  SEM_POST           tid=4   room=-  sem=50   msgs=7    Leo
263       29855.605  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
264       29855.607  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Mia
265       29855.608  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Mia
266       29855.608  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=7    Mia
267       29855.609  SEM_POST           tid=3   room=-  sem=50   msgs=7    Mia
268       29877.001  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
